Summary, Assignee, Reporter, Issue Type, Description, Priority, Story Points, Epic Link
"[Banking] - Migrar codigos de error data - bbva_corp_mx", , vscafati@prometeoapi.com, Task, "
Como usuario de prometeo, quiero recibir errores mas descriptivos a la hora de interacturar la API. Por lo que se desarrollo una mejora sobre los errores retornados para que cumplan dicho proposito.

*Acceptance Criteria:*
* Migrar códigos de error de los endpoints de datos para el provider {{bbva_corp_mx}}. Los cuales comprenden:
** {{/login}}, inicio de sesión.
** {{/account}}, cuentas.
** {{/account/\{account-id\}}}, movimientos de cuentas.
** {{/info}}, información personal.
** {{/credit-cards}}, tarjetas de credito
** {{/credit-cards/\{credit-card-id\}}}, movimientos de tarjeta de credito.
", , 2, DEV-966
"[Banking] - Migrar codigos de error data - banco_general", , vscafati@prometeoapi.com, Task, "
Como usuario de prometeo, quiero recibir errores mas descriptivos a la hora de interacturar la API. Por lo que se desarrollo una mejora sobre los errores retornados para que cumplan dicho proposito.

*Acceptance Criteria:*
* Migrar códigos de error de los endpoints de datos para el provider {{banco_general}}. Los cuales comprenden:
** {{/login}}, inicio de sesión.
** {{/account}}, cuentas.
** {{/account/\{account-id\}}}, movimientos de cuentas.
** {{/info}}, información personal.
** {{/credit-cards}}, tarjetas de credito
** {{/credit-cards/\{credit-card-id\}}}, movimientos de tarjeta de credito.
", , 2, DEV-966
"[Banking] - Migrar codigos de error data - midinero", , vscafati@prometeoapi.com, Task, "
Como usuario de prometeo, quiero recibir errores mas descriptivos a la hora de interacturar la API. Por lo que se desarrollo una mejora sobre los errores retornados para que cumplan dicho proposito.

*Acceptance Criteria:*
* Migrar códigos de error de los endpoints de datos para el provider {{midinero}}. Los cuales comprenden:
** {{/login}}, inicio de sesión.
** {{/account}}, cuentas.
** {{/account/\{account-id\}}}, movimientos de cuentas.
** {{/info}}, información personal.
** {{/credit-cards}}, tarjetas de credito
** {{/credit-cards/\{credit-card-id\}}}, movimientos de tarjeta de credito.
", , 2, DEV-966
"[Banking] - Migrar codigos de error data - itau_corp_br", , vscafati@prometeoapi.com, Task, "
Como usuario de prometeo, quiero recibir errores mas descriptivos a la hora de interacturar la API. Por lo que se desarrollo una mejora sobre los errores retornados para que cumplan dicho proposito.

*Acceptance Criteria:*
* Migrar códigos de error de los endpoints de datos para el provider {{itau_corp_br}}. Los cuales comprenden:
** {{/login}}, inicio de sesión.
** {{/account}}, cuentas.
** {{/account/\{account-id\}}}, movimientos de cuentas.
** {{/info}}, información personal.
** {{/credit-cards}}, tarjetas de credito
** {{/credit-cards/\{credit-card-id\}}}, movimientos de tarjeta de credito.
", , 2, DEV-966
"[Banking] - Migrar codigos de error data - bnp", , vscafati@prometeoapi.com, Task, "
Como usuario de prometeo, quiero recibir errores mas descriptivos a la hora de interacturar la API. Por lo que se desarrollo una mejora sobre los errores retornados para que cumplan dicho proposito.

*Acceptance Criteria:*
* Migrar códigos de error de los endpoints de datos para el provider {{bnp}}. Los cuales comprenden:
** {{/login}}, inicio de sesión.
** {{/account}}, cuentas.
** {{/account/\{account-id\}}}, movimientos de cuentas.
** {{/info}}, información personal.
** {{/credit-cards}}, tarjetas de credito
** {{/credit-cards/\{credit-card-id\}}}, movimientos de tarjeta de credito.
", , 2, DEV-966
"[Banking] - Migrar codigos de error data - pe_bbva_netcash", , vscafati@prometeoapi.com, Task, "
Como usuario de prometeo, quiero recibir errores mas descriptivos a la hora de interacturar la API. Por lo que se desarrollo una mejora sobre los errores retornados para que cumplan dicho proposito.

*Acceptance Criteria:*
* Migrar códigos de error de los endpoints de datos para el provider {{pe_bbva_netcash}}. Los cuales comprenden:
** {{/login}}, inicio de sesión.
** {{/account}}, cuentas.
** {{/account/\{account-id\}}}, movimientos de cuentas.
** {{/info}}, información personal.
** {{/credit-cards}}, tarjetas de credito
** {{/credit-cards/\{credit-card-id\}}}, movimientos de tarjeta de credito.
", , 2, DEV-966
"[Banking] - Migrar codigos de error data - cobrosimple_corp_pe", , vscafati@prometeoapi.com, Task, "
Como usuario de prometeo, quiero recibir errores mas descriptivos a la hora de interacturar la API. Por lo que se desarrollo una mejora sobre los errores retornados para que cumplan dicho proposito.

*Acceptance Criteria:*
* Migrar códigos de error de los endpoints de datos para el provider {{cobrosimple_corp_pe}}. Los cuales comprenden:
** {{/login}}, inicio de sesión.
** {{/account}}, cuentas.
** {{/account/\{account-id\}}}, movimientos de cuentas.
** {{/info}}, información personal.
** {{/credit-cards}}, tarjetas de credito
** {{/credit-cards/\{credit-card-id\}}}, movimientos de tarjeta de credito.
", , 2, DEV-966
"[Banking] - Migrar codigos de error data - telebanking_corp_pe", , vscafati@prometeoapi.com, Task, "
Como usuario de prometeo, quiero recibir errores mas descriptivos a la hora de interacturar la API. Por lo que se desarrollo una mejora sobre los errores retornados para que cumplan dicho proposito.

*Acceptance Criteria:*
* Migrar códigos de error de los endpoints de datos para el provider {{telebanking_corp_pe}}. Los cuales comprenden:
** {{/login}}, inicio de sesión.
** {{/account}}, cuentas.
** {{/account/\{account-id\}}}, movimientos de cuentas.
** {{/info}}, información personal.
** {{/credit-cards}}, tarjetas de credito
** {{/credit-cards/\{credit-card-id\}}}, movimientos de tarjeta de credito.
", , 2, DEV-966
"[Banking] - Migrar codigos de error data - santander_corp_br", , vscafati@prometeoapi.com, Task, "
Como usuario de prometeo, quiero recibir errores mas descriptivos a la hora de interacturar la API. Por lo que se desarrollo una mejora sobre los errores retornados para que cumplan dicho proposito.

*Acceptance Criteria:*
* Migrar códigos de error de los endpoints de datos para el provider {{santander_corp_br}}. Los cuales comprenden:
** {{/login}}, inicio de sesión.
** {{/account}}, cuentas.
** {{/account/\{account-id\}}}, movimientos de cuentas.
** {{/info}}, información personal.
** {{/credit-cards}}, tarjetas de credito
** {{/credit-cards/\{credit-card-id\}}}, movimientos de tarjeta de credito.
", , 2, DEV-966
"[Banking] - Migrar codigos de error data - bancolombia", , vscafati@prometeoapi.com, Task, "
Como usuario de prometeo, quiero recibir errores mas descriptivos a la hora de interacturar la API. Por lo que se desarrollo una mejora sobre los errores retornados para que cumplan dicho proposito.

*Acceptance Criteria:*
* Migrar códigos de error de los endpoints de datos para el provider {{bancolombia}}. Los cuales comprenden:
** {{/login}}, inicio de sesión.
** {{/account}}, cuentas.
** {{/account/\{account-id\}}}, movimientos de cuentas.
** {{/info}}, información personal.
** {{/credit-cards}}, tarjetas de credito
** {{/credit-cards/\{credit-card-id\}}}, movimientos de tarjeta de credito.
", , 2, DEV-966
